ZIP,Territory ID,Territory Name,Region ID,Region Name,E/W ID,E/W Name,County,City,State
955,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,SAN JUAN,PR
956,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAGUAS,BAYAMON,PR
957,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CATANO,BAYAMON,PR
958,1010201,"Miami, FL",10102,Florida,101,East Rare Region,BAYAMON,BAYAMON,PR
959,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,BAYAMON,PR
960,1010201,"Miami, FL",10102,Florida,101,East Rare Region,BAYAMON,BAYAMON,PR
961,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TRUJILLO ALTO,BAYAMON,PR
962,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CATANO,CATANO,PR
963,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CATANO,CATANO,PR
965,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYNABO,GUAYNABO,PR
966,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYNABO,GUAYNABO,PR
968,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,GUAYNABO,PR
969,1010201,"Miami, FL",10102,Florida,101,East Rare Region,BAYAMON,GUAYNABO,PR
970,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYNABO,GUAYNABO,PR
971,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYNABO,GUAYNABO,PR
975,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
976,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CATANO,TRUJILLO ALTO,PR
977,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CATANO,TRUJILLO ALTO,PR
978,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,,
979,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
980,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,,
981,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
982,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,CAROLINA,PR
