,NPI,PROVIDER_ZIP,VYVGART_VOLUME_3MONTH_KOMODO,SOLIRIS_VOLUME_3MONTH_KOMODO,ULTOMIRIS_VOLUME_3MONTH_KOMODO,VYVGART_VOLUME_6MONTH_KOMODO,SOLIRIS_VOLUME_6MONTH_KOMODO,ULTOMIRIS_VOLUME_6MONTH_KOMODO,VYVGART_VOLUME_12MONTH_KOMODO,SOLIRIS_VOLUME_12MONTH_KOMODO,ULTOMIRIS_VOLUME_12MONTH_KOMODO
1183,1225491582,43221,3,0,0,10,1,0,20,3,0
1184,1851456016,19104,0,6,0,0,6,0,0,6,0
1185,1184718496,32308,0,0,5,0,0,8,0,17,9
1186,1972836484,92705,0,0,0,0,0,1,0,0,2
1187,1326085374,45631,0,1,1,0,5,1,0,12,1
1188,1700248929,75390,0,0,2,0,0,2,0,0,2
1189,1982666905,94578,0,0,0,0,1,0,0,1,0
1190,1639351760,18711,0,0,0,0,1,0,0,1,0
1191,1033301858,56001,0,0,0,0,0,0,0,4,0
1192,1184044174,52242,0,0,0,0,0,0,0,1,0
1193,1215986765,12206,0,0,1,0,0,1,0,0,1
1194,1952368433,33609,1,0,0,4,0,0,20,0,0
1195,1003344656,64735,0,6,0,0,9,0,0,13,0
1196,1114127396,98052,0,0,0,0,0,0,0,2,0
1197,1841209426,34135,1,0,0,3,0,0,3,0,0
1198,1740202480,70506,0,0,1,0,0,1,0,5,1
1199,1194108837,30909,1,0,0,1,0,0,1,0,0
1200,1366429854,30904,0,0,0,0,0,0,1,0,0
1201,1063738821,84132,0,6,0,0,12,0,0,24,0
1202,1528072188,71201,0,2,0,0,3,0,0,3,0
1203,1952373656,78229,0,0,0,0,0,0,4,0,0
1204,1780651471,32405,2,0,0,3,0,0,3,0,0
1205,1952762809,44109,4,0,0,4,0,0,4,0,0
1206,1326300971,36606,6,0,1,6,0,2,6,0,3
1207,1962472241,48334,6,0,0,14,0,0,16,0,0
1208,1457701252,41501,4,0,0,4,0,0,8,0,0
1209,1770786584,30312,0,0,0,0,0,0,4,0,0
1210,1689895534,65201,3,0,0,3,5,0,3,12,0
1211,1780974022,17201,0,0,1,0,0,3,0,0,5
