GROUPING,CODE,NDC11,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,
IVIG,44206-438-92,44206043892,PRIVIGEN,,,1,,
IVIG,13533-800-40,13533080040,GAMUNEX-C,,,1,,
IVIG,0053-7596-25,53759625,VIVAGLOBIN,1,1,,,
IVIG,68982-810-03,68982081003,CUTAQUIG,,,1,,
IVIG,0944-2850-07,944285007,CUVITRU,,,1,,
IVIG,0944-2700-12,944270012,GAMMAGARD LIQUID,,,1,,
IVIG,76125-918-04,76125091804,BIVIGAM,1,,,,
IVIG,61953-0003-3,61953000303,FLEBOGAMMA,,,1,,
IVIG,0053-7596-01,53759601,VIVAGLOBIN,1,1,,,
IVIG,67467-843-05,67467084305,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,0069-1415-02,69141502,PANZYGA,1,1,,,
IVIG,76125-900-21,76125090021,GAMMAKED,1,,,,
IVIG,68982-822-85,68982082285,PANZYGA,1,,,,
IVIG,61953-0005-6,61953000506,FLEBOGAMMA DIF,,,1,,
IVIG,0944-2620-01,944262001,GAMMAGARD S/D,,,1,,
IVIG,,944265908,GAMMAGARD,,,1,,
IVIG,44206-456-94,44206045694,HIZENTRA,,,1,,
IVIG,76125-900-51,76125090051,GAMMAKED,1,,,,
IVIG,64208-8234-4,64208823404,GAMMAPLEX,,,1,,
IVIG,67467-843-01,67467084301,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,0944-2620-04,944262004,GAMMAGARD S/D,,,1,,
IVIG,44206-455-93,44206045593,HIZENTRA,,,1,,
IVIG,68982-840-03,68982084003,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,44206-451-90,44206045190,HIZENTRA,,,1,,
IVIG,68982-820-05,68982082005,PANZYGA,1,,,,
IVIG,13533-800-24,13533080024,GAMUNEX-C,,,1,,
IVIG,13533-335-40,13533033540,GAMASTAN,1,1,,,
IVIG,13533-800-16,13533080016,GAMUNEX-C,,,1,,
IVIG,0944-2510-02,944251002,HYQVIA,,,1,,
IVIG,68982-810-84,68982081084,CUTAQUIG,,,1,,
IVIG,,338000137,GAMMAGARD,,,1,,
IVIG,13533-635-02,13533063502,GAMASTAN,1,1,,,
IVIG,13533-645-20,13533064520,GAMUNEX,,,1,,
IVIG,44206-451-01,44206045101,HIZENTRA,,,1,,
IVIG,64208-8235-2,64208823502,GAMMAPLEX,,,1,,
